% Model:              zahra.mph
% Version:            COMSOL 5.3.1.275
% Date:               May 12 2020, 02:02
% Dimension:          3
% Nodes:              5948
% Expressions:        4
% Description:        Temperature, Mach number, Pressure, Density
% Length unit:        mm
% x                       y                        z                        T (K)                    hmnf.Ma (1)              p (Pa)                   hmnf.rho (kg/m^3)
-4.969286128196666        -47.07904778183549       -20.42690692535444       270.67951336450545       1.5292792751995372       91335.48565089144        1.1757155402200574
-4.16583692759773         -44.65343430664306       -22.65769680106524       270.3900965505928        1.5538025231753887       91697.10523029539        1.1816339166718637
0.11071387180332637       -47.07904778183549       -20.426906925354448      270.7620366920327        1.5162249891641226       90544.7671131976         1.1651817857486924
-1.7366026617223644       -46.63458832137325       -16.671322468639612      271.16124537411696       1.4671574688525195       89129.17024593247        1.145276493075463
-3.5839191952480562       -46.190128860911         -12.915738011924779      271.57738488817          1.4190715227196855       87768.94171763974        1.1260699342176648
-0.7236158372464173       -45.41337794811833       -22.914692794581804      270.09402436219204       1.556730467075817        91287.51272943894        1.1776452959170172
4.504108907407673         -45.49423433125224       -21.005548276393384      270.76009062775825       1.525789158250236        90706.65208413432        1.1672734036437722
4.6326390150114065        -50.8                    -16.675888970457176      271.6508557618557        1.47145787836959         89987.10181992842        1.1542165324710356
2.291323714099118         -47.386493319350095      -17.40946723927545       271.1422505046393        1.4740565444737899       89217.50483151613        1.1464918713109638
1.2522272295890633        -47.5402160881074        -14.370905550453148      271.7422885815777        1.4211909803384186       87801.14332451436        1.125799485437852
2.475649297974478         -50.8                    -12.17295855360614       272.64720633407876       1.4033397226225002       88572.40659380362        1.131919381352901
0.2131307450790088        -47.693938856864705      -11.332343861630845      272.1813925011921        1.396685139243199        87597.75413972797        1.1213795797513415
0.03236347113236218       -50.8                    -8.358241919394004       273.13815675095617       1.3864824485437028       89019.630445227          1.1355898863423664
4.471933556394909         -47.693938856864705      -14.392027553196456      271.52246431724564       1.4320266885041528       87890.24254983448        1.1278542999723107
6.9133280727761575        -47.693938856864705      -18.84548264854883       271.24817034168456       1.5003455617298256       90378.59050527931        1.160958912489437
13.050676130373962        -44.8826150564929        -22.704769117649757      271.64708337794156       1.565138359564042        93515.85991925326        1.1994946866953493
